Moon Princess,月亮守护者,334,100334,moonprincess,moonprincessmobile,Hot
Rise of Olympus,奥林匹斯之巅 ,352,100352,riseofolympus,riseofolympusmobile,Hot
Gemix,五彩宝石,286,100286,gemix,gemixmobile,Hot
Mystery Joker,神秘小丑,283,100283,mysteryjoker,mysteryjokermobile,Hot
Xmas Joker,圣诞小丑,309,100309,christmasjoker,christmasjokermobile,Hot
Golden Ticket,黄金入场券,285,100285,goldenticket,goldenticketmobile,Hot
Sweet Alchemy,魔力 小甜心,336,100336,sweetalchemy,sweetalchemymobile,Hot
Reactoonz,外星实验室,333,100333,reactoonz,reactoonzmobile,Hot
Book of Dead,亡灵书,310,100310,bookofdead,bookofdeadmobile,Hot
Energoonz,能量小精灵,262,100262,energoonz,energoonzmobile,Hot
BlackJack MH,多手21点,52,100052,blackjackmh,blackjackmhmobile,Hot
Troll Hunters,巨魔猎人,254,100254,trollhunters,trollhuntersmobile,Hot
Fire Joker,火焰小丑,307,100307,firejoker,firejokermobile,Hot
Pimped,酷炫一族,291,100291,pimped,pimpedmobile,Hot
,,,,,,
Iron Girl,钢铁女侠,306,100306,irongirl,irongirlmobile,New
Street Magic,街头魔术,351,100351,streetmagic,streetmagicmobile,New
Rise of Olympus,奥林匹斯之巅 ,352,100352,riseofolympus,riseofolympusmobile,New
Sizzling Spins,炙热旋转,357,100357,sizzlingspins,sizzlingspinsmobile,New
Cats and Cash,猫与钞票,193,100193,catsandcash,catsandcashmobile,New
Cops'n'Robbers,警匪游戏,194,100194,copsnrobbers,copsnrobbersmobile,New
Legacy of Egypt,埃及的遗产,339,100339,legacyofegypt,legacyofegyptmobile,New
Baker's Treat,点心派对,349,100349,bakerstreat,bakerstreatmobile,New
Sweet Alchemy,魔力 小甜心,336,100336,sweetalchemy,sweetalchemymobile,New
House of Doom,末日之屋,666,100666,houseofdoom,houseofdoommobile,New
Imperial Opera,京城曲艺,348,100348,imperialopera,imperialoperamobile,New
Gold King,黃金國王,341,100341,goldking,goldkingmobile,New
Planet Fortune,星球寻宝,345,100345,planetfortune,planetfortunemobile,New
Mystery Joker 6000,神秘小丑6000,338,100338,mysteryjoker6000,mysteryjoker6000mobile,New
Sea Hunter,深海猎人,331,100331,seahunter,seahuntermobile,New
